NO,DATE,D,T1,T2,W1,W2,F1,F2,DW,TIME,DT,V,PM10,WS,WD,T,RH,Pb,Cd,Fe,Mn,Mg,Ni,Zn,Be,Ca,Cu,Note
23,16/11/2011,Wed,8:14,16:16,0.06609,0.06615,5,5,0.00006,8:02,482,2410,24.90,2.01,125,28.63,68.74,0.0007054,0.0000000,0.0016598,0.0000000,0.0049793,0.0000000,0.0012448,0.0000000,0.0204564,0.0000000,Clear skies
24,20/11/2011,Sun,8:34,16:32,0.05933,0.05936,5,5,0.00003,7:58,478,2390,12.55,1.33,128,30.12,60.88,0.0007950,0.0000000,0.0003766,0.0000000,0.0043515,0.0000000,0.0008787,0.0000000,0.0134728,0.0000000,Clear skies
25,23/11/2011,Wed,8:08,16:11,0.06796,0.06801,5,5,0.00005,8:03,483,2415,20.70,1.11,158,27.36,76.45,0.0026501,0.0001656,0.0005797,0.0000000,0.0030642,0.0000414,0.0016563,0.0000000,0.0101863,0.0000000,Drizzling in the afternoon.
26,27/11/2011,Sun,7:38,16:18,0.06502,0.06510,5,5,0.00008,8:40,520,2600,30.77,1.38,141,29.40,72.99,0.0012692,0.0001154,0.0065769,0.0002308,0.0050000,0.0001923,0.0012308,0.0000000,0.0241538,0.0000000,Drizzling at 3:00 pm.
27,30/11/2011,Wed,7:54,15:54,0.06129,0.06134,5,5,0.00005,8:00,480,2400,20.83,1.22,130,30.50,65.22,0.0019167,0.0002083,0.0052083,0.0004583,0.0070417,0.0000000,0.0030000,0.0000000,0.0498750,0.0000000,Cloudy but no rain at 4 pm
28,04/12/2011,Sun,8:05,16:07,0.06280,0.06283,5,5,0.00003,8:02,482,2410,12.45,1.81,152,27.77,75.48,0.0000000,0.0000000,0.0004979,0.0000000,0.0003734,0.0000000,0.0015353,0.0000000,0.0034855,0.0000000,Rained at 8 am.
29,07/12/2011,Wed,7:30,16:09,0.07207,0.07220,5,5,0.00013,8:39,519,2595,50.10,1.22,144,29.11,70.37,0.0000000,0.0000000,0.0002312,0.0000000,0.0003854,0.0000385,0.0021580,0.0000000,0.0041233,0.0000000,Cloudy
30,11/12/2011,Sun,7:45,16:49,0.07718,0.07730,5,5,0.00012,9:04,544,2720,44.12,1.51,181,29.06,64.25,0.0000000,0.0000000,0.0005147,0.0000368,0.0016176,0.0000735,0.0082721,0.0000368,0.0205882,0.0000735,Rained at 3 pm.
31,14/12/2011,Wed,7:44,18:01,0.06923,0.06937,5,5,0.00014,10:17,617,3085,45.38,1.98,270,29.61,62.91,0.0000000,0.0014587,0.0020421,0.0016207,0.0026256,0.0016532,0.0092707,0.0015235,0.0220097,0.0017828,
32,17/12/2011,Sat,8:09,16:11,0.06436,0.06441,5,5,0.00005,8:02,482,2410,20.75,2.01,106,29.54,64.90,0.0000000,0.0000000,0.0006639,0.0000000,0.0019087,0.0000415,0.0101245,0.0000000,0.0276349,0.0000830,
33,20/12/2011,Tue,8:03,16:15,0.05869,0.05871,5,5,0.00002,8:12,491,2455,8.15,1.86,269,29.70,62.98,0.0000000,0.0000000,0.0010998,0.0000407,0.0020367,0.0001222,0.0014257,0.0000000,0.0160489,0.0001222,
34,31/12/2011,Sat,7:42,17:16,0.07321,0.07329,5,5,0.00008,9:34,574,2870,27.87,1.65,209,29.40,65.42,0.0000000,0.0000000,0.0003136,0.0000000,0.0010801,0.0000348,0.0047735,0.0000000,0.0171080,0.0000000,
35,01/02/2012,Wed,8:23,16:27,0.06621,0.06624,5,5,0.00003,8:04,484,2420,12.40,1.54,182,29.88,62.95,0.0000000,0.0000000,0.0003719,0.0000000,0.0012810,0.0000413,0.0056612,0.0000000,0.0202893,0.0000000,Clear skies
36,03/02/2012,Fri,8:01,16:09,0.06580,0.06596,5,5,0.00016,8:08,488,2440,65.57,2.00,165,28.26,71.41,0.0000000,0.0000000,0.0005328,0.0000410,0.0000000,0.0000410,0.0020082,0.0000000,0.0000000,0.0000000,Clear skies
37,08/02/2012,Wed,8:19,16:22,0.06584,0.06604,5,5,0.00020,8:03,483,2415,82.82,1.30,85,31.07,59.80,0.0000000,0.0000000,0.0002899,0.0000000,0.0002484,0.0000000,0.0035611,0.0000000,0.0000000,0.0000000,
38,11/02/2012,Sat,7:50,16:49,0.06570,0.06578,5,5,0.00008,8:59,539,2695,29.68,1.24,127,30.88,56.48,0.0000000,0.0000000,0.0005937,0.0000000,0.0000371,0.0000371,0.0008905,0.0000000,0.0031169,0.0000000,Clear skies
39,15/02/2012,Wed,7:54,16:22,0.07310,0.07327,5,5,0.00017,8:28,508,2540,66.93,1.13,87,29.53,67.70,0.0000000,0.0000000,0.0011417,0.0000394,0.0007087,0.0000394,0.0021654,0.0000000,0.0001969,0.0000787,Slightly hazy
40,18/02/2012,Sat,8:28,16:54,0.07275,0.07282,5,5,0.00007,8:26,506,2530,27.67,2.06,172,29.20,67.87,0.0000000,0.0000000,0.0004743,0.0000000,0.0002767,0.0000000,0.0024111,0.0000000,0.0023715,0.0009091,
41,22/02/2012,Wed,8:14,16:06,0.05433,0.05445,5,5,0.00012,7:52,472,2360,50.85,NA,NA,NA,NA,0.0000000,0.0000000,0.0050000,0.0001271,0.0010593,0.0000847,0.0032203,0.0000000,0.0038983,0.0001695,
42,25/02/2012,Sat,8:08,16:10,0.05383,0.05393,5,5,0.00010,8:02,482,2410,41.49,NA,NA,NA,NA,0.0000000,0.0000000,0.0000000,0.0001245,0.0011618,0.0000415,0.0027386,0.0000000,0.0086307,0.0002490,
43,29/02/2012,Wed,8:00,16:05,0.05461,0.05477,5,5,0.00016,8:05,485,2425,65.98,2.36,156,28.80,72.52,0.0000000,0.0000000,0.0110928,0.0001237,0.0005773,0.0000412,0.0010309,0.0000000,0.0000000,0.0002062,Position of weather station changed to closer to gate
44,03/03/2012,Sat,8:00,16:30,0.05370,0.05382,5,5,0.00012,8:30,510,2550,47.06,1.13,161,27.74,72.34,0.0000000,0.0000000,0.0006275,0.0000000,0.0012549,0.0000000,0.0062353,0.0000000,0.0162745,0.0000000,Drizzling in the morning.
45,07/03/2012,Wed,7:56,16:00,0.05420,0.05429,5,5,0.00009,8:04,484,2420,36.50,1.51,163,29.11,71.75,0.0000000,0.0000000,0.0000000,0.0000826,0.0015702,0.0000000,0.0019835,0.0000000,0.0000000,0.0000413,
46,14/03/2012,Wed,8:14,16:22,0.05593,0.05614,5,5,0.00021,8:08,488,2440,87.43,2.73,166,29.46,68.46,0.0000000,0.0000000,0.0000000,0.0001230,0.0057377,0.0000820,0.0072131,0.0000000,0.0375000,0.0001230,Cloudy skies in the morning.
47,21/03/2012,Wed,8:12,16:20,0.05568,0.05582,5,5,0.00014,8:08,488,2440,56.69,1.57,158,29.02,75.41,0.0043443,0.0003689,0.0018852,0.0001230,0.0088115,0.0000820,0.0098361,0.0000000,0.0400410,0.0003279,
48,24/03/2012,Sat,8:01,16:05,0.05734,0.05753,5,5,0.00019,8:04,484,2420,77.82,1.68,158,30.79,65.39,0.0000000,0.0000000,0.0020248,0.0001240,0.0069421,0.0000413,0.0041736,0.0000000,0.0128926,0.0000413,
49,28/03/2012,Wed,8:00,16:10,0.06118,0.06129,5,5,0.00011,8:10,490,2450,43.54,3.28,134,29.31,70.35,0.0000000,0.0000000,0.0009388,0.0001224,0.0021633,0.0000408,0.0039184,0.0000000,0.0069796,0.0000408,
50,30/03/2012,Fri,8:06,16:18,0.06181,0.06196,5,5,0.00015,8:12,492,2460,60.30,1.48,137,29.93,65.76,0.0000000,0.0000000,0.0011382,0.0001220,0.0058130,0.0001220,0.0071545,0.0000000,0.0284146,0.0000813,
51,04/04/2012,Wed,8:06,16:15,0.06486,0.06490,5,5,0.00005,8:09,489,2445,18.40,2.31,163,29.49,71.95,0.0000000,0.0000000,0.0016360,0.0001227,0.0022086,0.0000409,0.0031084,0.0000000,0.0004049,0.0000000,
52,08/04/2012,Sun,8:02,16:00,0.06515,0.06524,5,5,0.00009,7:58,478,2390,36.96,1.83,141,30.49,65.23,0.0000000,0.0000000,0.0004184,0.0000837,0.0041423,0.0000837,0.0055649,0.0000000,0.0213389,0.0000418,
53,11/04/2012,Wed,8:00,16:31,0.07277,0.07293,5,5,0.00015,8:31,511,2555,59.36,NA,NA,NA,NA,0.0000000,0.0000000,0.0005479,0.0001566,0.0048141,0.0000391,0.0037182,0.0000000,0.0160078,0.0000391,
54,14/04/2012,Sat,8:00,16:03,0.07282,0.07298,5,5,0.00016,8:03,483,2415,66.25,NA,NA,NA,NA,0.0000000,0.0000000,0.0005797,0.0000828,0.0042650,0.0000414,0.0035611,0.0000000,0.0120497,0.0001242,
55,18/04/2012,Wed,8:00,16:13,0.05453,0.05467,5,5,0.00014,8:13,493,2465,55.44,1.88,110,30.85,65.87,0.0000000,0.0000000,0.0007302,0.0001217,0.0032049,0.0000406,0.0024746,0.0000000,0.0180527,0.0001623,
56,22/04/2012,Sun,8:00,16:05,0.05434,0.05447,5,5,0.00013,8:05,485,2425,52.92,2.26,136,30.38,72.14,0.0000000,0.0000000,0.0000000,0.0000825,0.0009485,0.0000000,0.0011546,0.0000000,0.0000000,0.0000412,
57,25/04/2012,Wed,7:55,16:32,0.05505,0.05521,5,5,0.00017,8:37,517,2585,65.12,1.52,144,29.74,72.98,0.0000000,0.0000000,0.0015861,0.0000387,0.0000000,0.0002708,0.0018569,0.0000000,0.0023211,0.0001934,Rained at 12:30 pm. Second ICP batch starts.
58,03/05/2012,Thu,7:58,16:27,0.05393,0.05399,5,5,0.00006,8:29,509,2545,24.75,1.44,151,27.09,78.16,0.0000000,0.0000000,0.0020432,0.0000393,0.0000000,0.0001965,0.0019646,0.0000000,0.0033792,0.0005108,Drizzling in the morning.
59,06/05/2012,Sun,7:51,15:50,0.05502,0.05514,5,5,0.00012,7:59,479,2395,50.10,0.73,97,28.61,78.45,0.0000000,0.0000000,0.0014196,0.0000418,0.0000000,0.0002505,0.0017119,0.0000000,0.0024217,0.0001253,Drizzling in the morning. Forgot to install impactor.
60,09/05/2012,Wed,7:30,16:11,0.07954,0.07967,5,5,0.00013,8:41,521,2605,51.18,1.98,200,31.16,63.02,0.0000000,0.0000000,0.0027639,0.0000384,0.0000000,0.0004223,0.0058733,0.0000000,0.0075624,0.0002303,
61,13/05/2012,Sun,7:56,15:58,0.08165,0.08175,5,5,0.00010,8:02,482,2410,40.11,0.96,113,28.47,73.08,0.0000000,0.0000000,0.0028216,0.0000415,0.0031535,0.0073444,0.0104149,0.0000000,0.0131535,0.0003320,
62,16/05/2012,Wed,7:54,16:01,0.07826,0.07848,5,5,0.00022,8:07,487,2435,91.03,1.86,121,30.24,71.28,0.0000000,0.0000000,0.0027105,0.0000411,0.0163860,0.0009035,0.0052977,0.0000000,0.0079261,0.0003285,Rained at 10:20 a.m.  Workers were cutting grass.
63,19/05/2012,Sat,8:00,16:02,0.06580,0.06590,5,5,0.00010,8:02,482,2410,43.57,3.02,116,30.29,69.97,0.0000000,0.0000000,0.0039834,0.0000415,0.0002490,0.0006224,0.0044398,0.0000000,0.0105809,0.0004149,
64,24/05/2012,Thu,8:18,16:34,0.08016,0.08020,5,5,0.00004,8:16,496,2480,17.47,1.38,97,29.22,69.87,0.0000000,0.0000000,0.0038306,0.0000806,0.0069758,0.0006855,0.0095565,0.0000000,0.0175403,0.0003226,
65,27/05/2012,Sun,7:57,16:14,0.07899,0.07922,5,5,0.00023,8:17,497,2485,91.88,2.46,132,29.15,68.43,0.0000000,0.0000000,0.0022535,0.0000402,0.0012072,0.0003622,0.0034608,0.0000000,0.0052314,0.0001610,Slightly hazy
66,31/05/2012,Thu,7:58,16:00,0.07760,0.07767,5,5,0.00007,8:02,482,2410,29.74,1.49,142,29.21,72.51,0.0000000,0.0000000,0.0016598,0.0000415,0.0116183,0.0001660,0.0025311,0.0000000,0.0054357,0.0001245,Slighty hazy. Rained in the afternoon.
67,06/06/2012,Wed,8:00,16:00,0.07246,0.07259,5,5,0.00013,8:00,480,2400,56.25,2.65,140,27.75,82.37,0.0000000,0.0000000,0.0018750,0.0000000,0.0010000,0.0001667,0.0048333,0.0000000,0.0017500,0.0001250,Rained heavily at 11 am.  Volume flowrate was high > 5 L/min.
68,09/06/2012,Sat,8:03,16:09,0.07162,0.07182,5,5,0.00020,8:06,486,2430,81.62,4.22,150,29.82,73.84,0.0000000,0.0000000,0.0018107,0.0000412,0.0016049,0.0001235,0.0020576,0.0000000,0.0083951,0.0000412,
69,14/06/2012,Thu,8:04,16:09,0.06518,0.06548,5,5,0.00030,8:05,485,2425,121.65,2.48,122,30.99,65.66,0.0000000,0.0000000,0.0029278,0.0000412,0.0033814,0.0002062,0.0043711,0.0000000,0.0094433,0.0000412,"Haze episode started on 6/11/2012 due to riots in Myanmar, burning of houses etc. since Sunday. Progressively worse with day"
70,16/06/2012,Sat,8:05,16:46,0.06541,0.06570,5,5,0.00029,8:41,521,2605,113.24,2.09,141,30.95,60.92,0.0000000,0.0000000,0.0061420,0.0001152,0.0000000,0.0004607,0.0048369,0.0000000,0.0086756,0.0001536,
71,20/06/2012,Wed,8:03,16:28,0.06055,0.06092,5,5,0.00037,8:25,505,2525,145.87,3.94,147,30.36,69.94,0.0000000,0.0000000,0.0020990,0.0000396,0.0000000,0.0001584,0.0026139,0.0000000,0.0003564,0.0001188,
72,27/06/2012,Wed,7:56,16:17,0.06446,0.06462,5,5,0.00015,8:21,501,2505,60.55,2.25,132,27.80,77.49,0.0000000,0.0000000,0.0022355,0.0000399,0.0000000,0.0001597,0.0059481,0.0000000,0.0054691,0.0000798,Rain in the afternoon
73,30/06/2012,Sat,8:02,16:07,0.06063,0.06071,5,5,0.00008,8:05,485,2425,31.62,2.46,121,29.55,72.20,0.0000000,0.0000000,0.0023093,0.0000412,0.0000000,0.0003711,0.0058969,0.0000000,0.0044948,0.0000825,
74,04/07/2012,Wed,8:05,16:18,0.05470,0.05474,5,5,0.00004,8:13,493,2465,18.26,1.50,163,26.13,82.20,0.0000000,0.0000000,0.0019473,0.0000406,0.0013387,0.0002028,0.0075862,0.0000000,0.0059635,0.0000811,Rain throughout the day
75,07/07/2012,Sat,8:07,16:08,0.05514,0.05522,5,5,0.00008,8:01,481,2405,33.40,1.55,135,28.89,74.87,0.0000000,0.0000000,0.0030353,0.0000832,0.0045738,0.0003326,0.0024532,0.0000000,0.0086071,0.0001247,
76,11/07/2012,Wed,7:54,16:31,0.05524,0.05529,5,5,0.00005,8:37,517,2585,18.38,1.63,172,26.75,79.99,0.0000000,0.0000000,0.0026692,0.0000774,0.0059574,0.0003482,0.0095938,0.0000000,0.0140039,0.0002708,Rain throughout the day
77,14/07/2012,Sat,7:58,16:21,0.05415,0.05424,5,5,0.00010,8:23,503,2515,38.44,1.58,182,29.76,67.77,0.0000000,0.0000000,0.0021869,0.0000398,0.0000000,0.0003181,0.0013917,0.0000000,0.0022266,0.0001988,
78,19/07/2012,Thu,7:54,16:25,0.07850,0.07860,5,5,0.00010,8:31,511,2555,39.14,1.84,105,27.86,74.41,0.0000000,0.0000000,0.0026223,0.0000783,0.0117025,0.0003914,0.0046184,0.0000000,0.0183953,0.0004305,Rained heavily at 3:00 p.m.
79,25/07/2012,Wed,8:04,16:50,0.07911,0.07914,5,5,0.00003,8:46,526,2630,12.67,NA,NA,NA,NA,0.0000000,0.0000000,0.0029278,0.0000760,0.0006844,0.0003422,0.0053232,0.0000000,0.0111787,0.0003802,
80,28/07/2012,Sat,7:55,17:24,0.07897,0.07911,5,5,0.00015,9:29,569,2845,50.97,1.36,161,29.86,68.97,0.0000000,0.0000000,0.0028471,0.0000703,0.0063269,0.0003163,0.0035501,0.0000000,0.0123374,0.0004218,Slightly hazy
81,31/07/2012,Tue,8:03,16:22,0.07857,0.07876,5,5,0.00019,8:19,499,2495,76.15,1.81,136,30.12,69.90,0.0010421,0.0000000,0.0031263,0.0000802,0.0065731,0.0003607,0.0069739,0.0000000,0.0126253,0.0002806,Slightly hazy
82,05/08/2012,Sun,8:03,16:36,0.07153,0.07163,5,5,0.00010,8:33,513,2565,38.99,1.36,161,29.86,68.97,0.0000000,0.0000000,0.0028070,0.0000780,0.0502924,0.0003119,0.0038596,0.0000000,0.0239766,0.0005068,
83,08/08/2012,Wed,7:58,16:25,0.07192,0.07205,5,5,0.00013,8:27,505,2525,51.49,2.93,163,30.15,71.00,0.0000000,0.0000000,0.0030495,0.0000792,0.0000000,0.0003564,0.0030495,0.0000000,0.0071287,0.0005149,Slightly hazy
84,11/08/2012,Sat,8:01,16:01,0.06528,0.06553,5,5,0.00025,8:00,480,2400,104.17,3.57,180,30.42,65.43,0.0000000,0.0000000,0.0024167,0.0000417,0.0022500,0.0002917,0.0016667,0.0000000,0.0026667,0.0006250,Slightly hazy
85,15/08/2012,Wed,8:01,16:08,0.06562,0.06572,5,5,0.00010,8:07,487,2435,41.07,1.89,150,29.55,74.73,0.0000000,0.0000000,0.0026283,0.0000821,0.0000000,0.0003696,0.0037782,0.0000000,0.0010678,0.0002053,Rained briefly in the afternoon.
86,25/08/2012,Sat,8:07,16:08,0.06089,0.06096,5,5,0.00007,8:01,481,2405,29.11,1.20,94,28.91,71.61,0.0000000,0.0000000,0.0029106,0.0000832,0.0000000,0.0002911,0.0016632,0.0000000,0.0004990,0.0000832,
87,29/08/2012,Wed,8:15,16:16,0.06051,0.06058,5,5,0.00007,8:01,481,2405,29.11,1.66,117,29.02,69.68,0.0000000,0.0000000,0.0030769,0.0000832,0.0022453,0.0003326,0.0022869,0.0000000,0.0074428,0.0006237,
88,01/09/2012,Sat,7:54,16:16,0.07302,0.07311,5,5,0.00009,8:22,502,2510,35.86,3.75,177,29.83,68.89,0.0000000,0.0000000,0.0027490,0.0000797,0.0035857,0.0002789,0.0060956,0.0000000,0.0067729,0.0001992,
