Pb,Cd,Fe,Mn,Mg,Ni,Zn,Be,Ca,Cu,pm10
0,0,146.5477178,2.44813278,574.1286307,13.45643154,93.59751037,0,2599.26971,0.410788382,24.89626556
0,0,17.32217573,0.60251046,512.6317992,9.263598326,54.12133891,0,1902.90795,6.489539749,12.55230126
0,0,37.34989648,0.136645963,380.9772257,11.02691511,132.5921325,0,1566.977226,2.575569358,20.70393375
0,0,642.9615385,27.57307692,571.1961538,30.25384615,93.45384615,0.65,2928.803846,6.626923077,30.76923077
0,-1.9625,506.1916667,49.82083333,779.45,9.858333333,268.8208333,0.044166667,5541.095833,4.7125,20.83333333
374.9773361,14.73170539,49.8189834,0,36.61729876,1.684995851,154.7612988,0,347.8146349,1.570929461,12.44813278
402.8697418,18.57966089,23.19341811,0.476689788,38.18893256,2.226905588,214.9407669,0.768250482,412.7568401,1.462339114,50.09633911
364.2556654,10.80704779,51.02822059,3.631911765,161.7011507,7.085275735,826.6349779,3.781305147,2057.620199,8.448915441,44.11764706
166.4992382,146.577248,205.2883371,162.2490859,262.8303566,166.2868882,928.648953,151.9095235,2201.159115,177.5030989,45.3808752
0,19.86980498,65.45822822,0.570643154,189.4594149,5.151286307,1011.942859,0.551149378,2762.43934,8.178107884,20.74688797
278.003332,7.182627291,111.469336,5.418879837,202.3446517,10.23143788,142.1208554,0,1606.173519,14.18094094,8.146639511
311.2934634,11.79291638,31.25049477,0.512878049,107.3977003,2.068202091,477.7286899,0,1709.485293,0.911160279,27.87456446
389.2238099,15.02515702,70.02217769,0.151652893,136.6498719,2.019979339,702.5984669,0.497392562,1809.95055,0.442826446,12.39669421
471.9479221,23.13131557,54.51684836,2.344508197,3.732721311,2.101557377,200.4084467,0.488434426,0,3.361385246,65.57377049
473.5032836,23.51065424,27.94142857,1.998761905,23.42353623,0.719536232,357.0781159,0.622434783,288.3464099,3.174650104,82.81573499
437.9437365,21.56056401,60.67599258,1.80432282,3.778753247,2.463569573,89.43415213,0,312.4090056,2.16374026,29.68460111
0,21.5453622,115.8435197,2.869885827,72.1769252,2.799586614,216.2684055,0.550535433,21.58016535,6.265484252,66.92913386
472.9214387,23.70709486,48.99472727,1.858355731,27.94712648,0.394071146,239.5063992,0.453007905,235.911996,91.16200791,27.66798419
395.091839,19.77011441,498.0858983,12.71455085,106.7367415,9.544398305,322.2751017,1.983432203,391.6479958,17.59100847,50.84745763
479.7784938,25.65340664,110.7970373,11.1650083,116.056278,2.459481328,274.9329876,0.649854772,861.8392241,24.48813693,41.49377593
471.4097649,23.42330722,1108.941711,11.80271753,59.60646186,6.078581443,102.9852742,0,161.2598144,19.34858557,65.97938144
366.4627608,13.76575294,62.11783922,0.120784314,127.1157922,0.430933333,621.6119137,0.446439216,1627.179718,2.974498039,47.05882353
459.9670785,0,282.1105331,7.393384298,157.9732645,2.444623967,198.6953347,0.506541322,177.1368884,2.143392562,36.50137741
279.4777131,7.338651639,60.82788934,12.36638934,575.5908689,9.928106557,720.0434467,0,3750.51557,13.04968033,87.43169399
434.4316762,37.00063934,190.4917705,13.30690984,879.9131475,9.106422131,982.0791025,0,4004.94823,33.25129918,56.69398907
337.8605,11.71583471,202.3103058,12.90339669,693.9338884,6.150413223,417.8707562,0.495929752,1290.395574,3.663024793,77.8238292
367.0954245,16.86207755,93.71575918,11.9055102,217.9275347,5.03515102,391.2287469,0.557244898,698.053351,4.841444898,43.53741497
311.757435,9.429272358,112.8600447,11.80939837,580.3271789,11.47514228,717.0312886,0,2842.168207,8.94204065,60.29796748
368.3476687,16.54387321,164.7075583,11.17934969,221.4671452,4.059566462,311.4634888,0,958.2486585,2.120494888,18.40490798
472.6196109,24.20850628,41.53454393,9.492267782,415.2274184,7.290828452,556.9309289,0.46739749,2132.450678,6.011702929,36.9595537
414.8969589,19.4269002,53.5385636,15.09919374,481.730591,3.227017613,372.2624618,0.450778865,1600.924485,2.19741683,59.36073059
374.4896563,15.03101863,59.78578882,9.262389234,426.299648,4.883544513,356.0652091,0.827544513,1203.016961,14.2249648,66.25120773
393.485574,17.68677079,72.14928195,11.87890061,321.0728722,5.992515213,247.326572,0.428989858,1805.119254,15.75688438,55.44300203
0,24.79807423,190.3018474,7.453484536,95.45074227,0.829282474,117.1019134,0,50.27529485,3.521748454,52.92123711
0,0,160.0812379,3.245647969,0,35.00967118,207.237911,0,278.3675048,18.90522244,65.11914894
0,0,203.956778,4.082514735,0,22.40078585,216.4990177,0,365.4381139,50.56188605,24.75442043
0,0,140.960334,2.254697286,0,22.91858038,189.3820459,0,243.1189979,12.23799582,50.10438413
0,0,277.4894434,4.917466411,0,51.73896353,610.3608445,0,792.8291747,26.42226488,51.18387716
0,0,283.4605809,5.56846473,324.9958506,765.4647303,1075.60166,0,1356.979253,32.83817427,40.11037344
0,0,272.3819302,3.420944559,1646.258727,106.6078029,555.2731006,0,892.899384,33.94661191,91.03326489
0,0,397.3319502,5.717842324,47.75518672,66.33195021,467.2821577,0,975.7717842,40.40248963,43.56846473
0,0,383.4596774,8.536290323,716.3669355,76.66532258,980.3225806,0,1815.362903,33.21774194,17.4733871
0,0,224.1327968,3.995975855,133.4486922,46.18511066,375.9517103,0,595.8551308,15.0221328,91.88450704
0,0,166.5560166,2.381742739,1170.024896,24.05394191,277.8838174,0,634.9792531,11.80082988,29.7373444
0,0,185.7166667,2.0625,96.59583333,22.1625,509.1541667,0,251.7416667,11.0625,56.25
0,0,179.0164609,3.251028807,167.8395062,23.68312757,230.0246914,0,928.9012346,4.283950617,81.61851852
0,0,294.2020619,5.707216495,336.6515464,32.48659794,462.3051546,0,1035.534021,6.111340206,121.6494845
0,0,612.2341651,12.9059501,0,56.19577735,554.2879079,0,958.5067179,14.54510557,113.243762
0,0,208.7287129,2.827722772,0,27.98019802,287.0336634,0,116.4871287,9.964356436,145.8744554
0,0,223.3213573,4.003992016,0,25.13373253,617.7045908,0,628.7904192,8.463073852,60.54570858
0,0,229.9257732,4.098969072,0,42.82474227,613.6123711,0,522.4907216,7.608247423,31.61525773
0,0,192.7991886,2.320486815,152.4462475,18.84787018,785.5659229,0,634.1663286,9.647058824,18.25557809
0,0,164.7567568,3.064449064,157.5841996,17.18087318,186.2203742,0,355.970894,5.875259875,33.4026334
0,0,143.8259188,1.907156673,280.7234043,13.50096712,715.0599613,0,775.8181818,12.06189555,18.37524178
0,0,105.8528827,1.308151093,0,15.14512922,109.0059642,0,0,11.40755467,38.43631544
0,0,137.9843444,2.735812133,695.8199609,21.56164384,347.1585127,0,1096.011742,27.55381605,39.13894325
0,0,162.608365,2.403041825,0,16.43346008,423.2661597,0,598.8745247,23.32319392,12.67427123
0,0,160.1511424,2.780316344,292.3339192,18.24604569,279.3637961,0,713.4059754,25.36731107,50.96660808
0,0,176.1723447,3.318637275,317.8757515,19.6753507,513.8276553,0,705.4108216,15.31062124,76.15230461
0,0,152.2222222,2.900584795,3526,14.12475634,290.9317739,0,1524.779727,31.80896686,38.98635478
0,0,169.1881188,4.392079208,0,19.31089109,231.9247525,0,320.2693069,33.51683168,51.48514851
0,0,121.7541667,1.391666667,0,20.00833333,126.9166667,0,0,38.48333333,104.1666667
0,0,137.4948665,2.123203285,0,19.52772074,287.2648871,0,0,10.02464066,41.06776181
0,0,159.0935551,2.819126819,0,19.62993763,128.7193347,0,0,0.165072765,29.10602911
0,0,168.7525988,3.812889813,0,18.33679834,180.3534304,0,339.8835759,37.65072765,29.10602911
0,0,147.7649402,1.721115538,86.50996016,20.33067729,461.2549801,0,280.9601594,9.430278884,35.85657371
0,0,178.2727273,2.545454545,0,24.05371901,248.4628099,0,172.2644628,8.665289256,16.52892562
