NO,DATE,D,T1,T2,W1,W2,F1,F2,DW,TIME,DT,V,PM10,WS,WD,T,RH,Pb,Cd,Fe,Mn,Mg,Ni,Zn,Be,Ca,Cu,Note
23,16/11/11,Wed,8:45,16:46,0.06505,0.06510,5.0,5.0,0.000051,8:01,481,2405,21.21,1.7,189,27.8,66,0.0008,0.0000,0.0058,0.0001,0.0052,0.0000,0.0011,0.0000,0.0188,0.0000,
24,20/11/11,Sun,8:56,17:12,0.06773,0.06778,5.0,5.0,0.000050,8:16,496,2480,20.16,1.2,140,27.9,63,0.0015,0.0001,0.0188,0.0013,0.0068,0.0001,0.0035,0.0000,0.0330,0.0000,Clear skies
25,23/11/11,Wed,8:15,16:26,0.07051,0.07060,5.0,5.0,0.000090,8:11,491,2455,36.66,1.0,244,25.3,81,0.0008,0.0000,0.0249,0.0000,0.0037,0.0000,0.0008,0.0000,0.0136,0.0000,Drizzling in the afternoon.
26,27/11/11,Sun,8:34,16:33,0.06578,0.06582,5.0,5.0,0.000040,7:59,479,2395,16.70,1.2,163,27.6,74,0.0019,0.0001,0.0190,0.0018,0.0065,0.0000,0.0033,0.0000,0.0254,0.0000,Start to rain at 4 pm.
27,30/11/11,Wed,8:30,16:30,0.06510,0.06517,5.0,5.0,0.000070,8:00,480,2400,29.17,1.3,227,28.6,68,0.0012,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,Cloudy but no rain.
28,04/12/11,Sun,8:54,16:54,0.06233,0.06243,5.0,5.0,0.000100,8:00,480,2400,41.67,0.9,207,28.3,67,0.0000,0.0000,0.0010,0.0000,0.0012,0.0002,0.0023,0.0000,0.0180,0.0002,Rained at 8 am
29,07/12/11,Wed,8:30,16:32,0.06190,0.06195,5.0,5.0,0.000050,8:02,482,2410,20.75,0.0,169,26.7,78,0.0000,0.0000,0.0014,0.0000,0.0005,0.0000,0.0056,0.0000,0.0120,0.0000,Cloudy
30,11/12/11,Sun,8:27,16:42,0.06247,0.06255,5.0,5.0,0.000080,8:15,495,2475,32.32,1.2,230,27.0,64,0.0000,0.0001,0.0006,0.0000,0.0006,0.0000,0.0003,0.0000,0.0019,0.0001,Rained at 3 pm.
31,14/12/11,Wed,8:26,16:29,0.06232,0.06240,5.0,5.0,0.000083,8:03,483,2415,34.37,2.1,239,26.6,69,0.0000,0.0000,0.0011,0.0000,0.0013,0.0001,0.0011,0.0000,0.0157,0.0001,
32,17/12/11,Sat,8:29,16:39,0.06531,0.06537,5.0,5.0,0.000060,8:10,490,2450,24.49,1.2,261,26.7,71,0.0000,0.0000,0.0011,0.0000,0.0011,0.0002,0.0014,0.0000,0.0091,0.0002,
