date,pm10,ws,wd,T,RH,Pb,Cd,Fe,Mn,Mg,Ni,Zn,Be,Ca,Cu,monsoon,MonsoonCo,day,Station,,F1,,F1,F2,F3,F4,,DF,,DF-Air
11/16/11,24.9,2.01,125,28.63,68.74,0.0007054,0,0.0016598,0,0.0049793,0,0.0012448,0,0.0204564,0,FTM,1,weekday,1,,0.28,,-0.22,0.79,-0.80,-0.37,,-1.09571533,,1.572036922
11/20/11,12.55,1.33,128,30.12,60.88,0.000795,0,0.0003766,0,0.0043515,0,0.0008787,0,0.0134728,0,FTM,1,weekend,1,,0.05,,-0.28,0.38,-0.81,-0.35,,-0.852853944,,1.882821058
11/23/11,20.7,1.11,158,27.36,76.45,0.0026501,0.0001656,0.0005797,0,0.0030642,4.14E-05,0.0016563,0,0.0101863,0,FTM,1,weekday,1,,0.21,,0.58,1.05,-0.71,-0.55,,-0.056470597,,-0.210386223
11/27/11,30.77,1.38,141,29.4,72.99,0.0012692,0.0001154,0.0065769,0.0002308,0.005,0.0001923,0.0012308,0,0.0241538,0,FTM,1,weekend,1,,0.24,,1.37,0.95,-0.84,-0.37,,-1.137114222,,0.960739938
11/30/11,20.83,1.22,130,30.5,65.22,0.0019167,0.0002083,0.0052083,0.0004583,0.0070417,0,0.003,0,0.049875,0,FTM,1,weekday,1,,0.09,,1.66,3.15,-0.56,-0.40,,-1.752292733,,1.724469969
12/4/11,12.45,1.81,152,27.77,75.48,0,0,0.0004979,0,0.0003734,0,0.0015353,0,0.0034855,0,NEM,1,weekend,1,,0.39,,-0.34,-0.66,-0.47,-0.47,,-0.088014383,,0.372370228
12/7/11,50.1,1.22,144,29.11,70.37,0,0,0.0002312,0,0.0003854,3.85E-05,0.002158,0,0.0041233,0,NEM,1,weekday,1,,0.17,,-0.43,-0.55,-0.28,-0.51,,0.140146378,,0.843797038
12/11/11,44.12,1.51,181,29.06,64.25,0,0,0.0005147,3.68E-05,0.0016176,7.35E-05,0.0082721,3.68E-05,0.0205882,7.35E-05,NEM,1,weekend,1,,0.32,,-0.87,1.16,1.11,-0.85,,1.747198681,,0.298478872
12/14/11,45.38,1.98,270,29.61,62.91,0,0.0014587,0.0020421,0.0016207,0.0026256,0.0016532,0.0092707,0.0015235,0.0220097,0.0017828,NEM,1,weekday,1,,0.81,,6.47,-0.69,5.26,2.42,,1.608229981,,-1.434916815
12/17/11,20.75,2.01,106,29.54,64.9,0,0,0.0006639,0,0.0019087,4.15E-05,0.0101245,0,0.0276349,8.30E-05,NEM,1,weekend,1,,0.18,,-1.11,1.85,1.47,-0.99,,2.115709089,,2.400696179
