"date","pm10","ws","wd","T","RH","Pb","Cd","Fe","Mn","Mg","Ni","Zn","Be","Ca","Cu","monsoon","day"
"1",2011-11-16,24.9,2.01,125,28.63,68.74,0.0007054,0,0.0016598,0,0.0049793,0,0.0012448,0,0.0204564,0,"FTM","weekday"
"2",2011-11-20,12.55,1.33,128,30.12,60.88,0.000795,0,0.0003766,0,0.0043515,0,0.0008787,0,0.0134728,0,"FTM","weekend"
"3",2011-11-23,20.7,1.11,158,27.36,76.45,0.0026501,0.0001656,0.0005797,0,0.0030642,4.14e-05,0.0016563,0,0.0101863,0,"FTM","weekday"
"4",2011-11-27,30.77,1.38,141,29.4,72.99,0.0012692,0.0001154,0.0065769,0.0002308,0.005,0.0001923,0.0012308,0,0.0241538,0,"FTM","weekend"
"5",2011-11-30,20.83,1.22,130,30.5,65.22,0.0019167,0.0002083,0.0052083,0.0004583,0.0070417,0,0.003,0,0.049875,0,"FTM","weekday"
"6",2011-12-04,12.45,1.81,152,27.77,75.48,0,0,0.0004979,0,0.0003734,0,0.0015353,0,0.0034855,0,"NEM","weekend"
"7",2011-12-07,50.1,1.22,144,29.11,70.37,0,0,0.0002312,0,0.0003854,3.85e-05,0.002158,0,0.0041233,0,"NEM","weekday"
"8",2011-12-11,44.12,1.51,181,29.06,64.25,0,0,0.0005147,3.68e-05,0.0016176,7.35e-05,0.0082721,3.68e-05,0.0205882,7.35e-05,"NEM","weekend"
"9",2011-12-14,45.38,1.98,270,29.61,62.91,0,0.0014587,0.0020421,0.0016207,0.0026256,0.0016532,0.0092707,0.0015235,0.0220097,0.0017828,"NEM","weekday"
"10",2011-12-17,20.75,2.01,106,29.54,64.9,0,0,0.0006639,0,0.0019087,4.15e-05,0.0101245,0,0.0276349,8.3e-05,"NEM","weekend"
"11",2011-12-20,8.15,1.86,269,29.7,62.98,0,0,0.0010998,4.07e-05,0.0020367,0.0001222,0.0014257,0,0.0160489,0.0001222,"NEM","weekday"
"12",2011-12-31,27.87,1.65,209,29.4,65.42,0,0,0.0003136,0,0.0010801,3.48e-05,0.0047735,0,0.017108,0,"NEM","weekend"
"13",2012-02-01,12.4,1.54,182,29.88,62.95,0,0,0.0003719,0,0.001281,4.13e-05,0.0056612,0,0.0202893,0,"NEM","weekday"
"14",2012-02-03,65.57,2,165,28.26,71.41,0,0,0.0005328,4.1e-05,0,4.1e-05,0.0020082,0,0,0,"NEM","weekday"
"15",2012-02-08,82.82,1.3,85,31.07,59.8,0,0,0.0002899,0,0.0002484,0,0.0035611,0,0,0,"NEM","weekday"
"16",2012-02-11,29.68,1.24,127,30.88,56.48,0,0,0.0005937,0,3.71e-05,3.71e-05,0.0008905,0,0.0031169,0,"NEM","weekend"
"17",2012-02-15,66.93,1.13,87,29.53,67.7,0,0,0.0011417,3.94e-05,0.0007087,3.94e-05,0.0021654,0,0.0001969,7.87e-05,"NEM","weekday"
"18",2012-02-18,27.67,2.06,172,29.2,67.87,0,0,0.0004743,0,0.0002767,0,0.0024111,0,0.0023715,0.0009091,"NEM","weekend"
"19",2012-02-22,50.85,NA,NA,NA,NA,0,0,0.005,0.0001271,0.0010593,8.47e-05,0.0032203,0,0.0038983,0.0001695,"NEM","weekday"
"20",2012-02-25,41.49,NA,NA,NA,NA,0,0,0,0.0001245,0.0011618,4.15e-05,0.0027386,0,0.0086307,0.000249,"NEM","weekend"
"21",2012-02-29,65.98,2.36,156,28.8,72.52,0,0,0.0110928,0.0001237,0.0005773,4.12e-05,0.0010309,0,0,0.0002062,"NEM","weekday"
"22",2012-03-03,47.06,1.13,161,27.74,72.34,0,0,0.0006275,0,0.0012549,0,0.0062353,0,0.0162745,0,"NEM","weekend"
"23",2012-03-07,36.5,1.51,163,29.11,71.75,0,0,0,8.26e-05,0.0015702,0,0.0019835,0,0,4.13e-05,"NEM","weekday"
"24",2012-03-14,87.43,2.73,166,29.46,68.46,0,0,0,0.000123,0.0057377,8.2e-05,0.0072131,0,0.0375,0.000123,"NEM","weekday"
"25",2012-03-21,56.69,1.57,158,29.02,75.41,0.0043443,0.0003689,0.0018852,0.000123,0.0088115,8.2e-05,0.0098361,0,0.040041,0.0003279,"NEM","weekday"
"26",2012-03-24,77.82,1.68,158,30.79,65.39,0,0,0.0020248,0.000124,0.0069421,4.13e-05,0.0041736,0,0.0128926,4.13e-05,"NEM","weekend"
"27",2012-03-28,43.54,3.28,134,29.31,70.35,0,0,0.0009388,0.0001224,0.0021633,4.08e-05,0.0039184,0,0.0069796,4.08e-05,"NEM","weekday"
"28",2012-03-30,60.3,1.48,137,29.93,65.76,0,0,0.0011382,0.000122,0.005813,0.000122,0.0071545,0,0.0284146,8.13e-05,"NEM","weekday"
"29",2012-04-04,18.4,2.31,163,29.49,71.95,0,0,0.001636,0.0001227,0.0022086,4.09e-05,0.0031084,0,0.0004049,0,"STM","weekday"
"30",2012-04-08,36.96,1.83,141,30.49,65.23,0,0,0.0004184,8.37e-05,0.0041423,8.37e-05,0.0055649,0,0.0213389,4.18e-05,"STM","weekend"
"31",2012-04-11,59.36,NA,NA,NA,NA,0,0,0.0005479,0.0001566,0.0048141,3.91e-05,0.0037182,0,0.0160078,3.91e-05,"STM","weekday"
"32",2012-04-14,66.25,NA,NA,NA,NA,0,0,0.0005797,8.28e-05,0.004265,4.14e-05,0.0035611,0,0.0120497,0.0001242,"STM","weekend"
"33",2012-04-18,55.44,1.88,110,30.85,65.87,0,0,0.0007302,0.0001217,0.0032049,4.06e-05,0.0024746,0,0.0180527,0.0001623,"STM","weekday"
"34",2012-04-22,52.92,2.26,136,30.38,72.14,0,0,0,8.25e-05,0.0009485,0,0.0011546,0,0,4.12e-05,"STM","weekend"
"35",2012-04-25,65.12,1.52,144,29.74,72.98,0,0,0.0015861,3.87e-05,0,0.0002708,0.0018569,0,0.0023211,0.0001934,"STM","weekday"
"36",2012-05-03,24.75,1.44,151,27.09,78.16,0,0,0.0020432,3.93e-05,0,0.0001965,0.0019646,0,0.0033792,0.0005108,"STM","weekday"
"37",2012-05-06,50.1,0.73,97,28.61,78.45,0,0,0.0014196,4.18e-05,0,0.0002505,0.0017119,0,0.0024217,0.0001253,"STM","weekend"
"38",2012-05-09,51.18,1.98,200,31.16,63.02,0,0,0.0027639,3.84e-05,0,0.0004223,0.0058733,0,0.0075624,0.0002303,"STM","weekday"
"39",2012-05-13,40.11,0.96,113,28.47,73.08,0,0,0.0028216,4.15e-05,0.0031535,0.0073444,0.0104149,0,0.0131535,0.000332,"STM","weekend"
"40",2012-05-16,91.03,1.86,121,30.24,71.28,0,0,0.0027105,4.11e-05,0.016386,0.0009035,0.0052977,0,0.0079261,0.0003285,"STM","weekday"
"41",2012-05-19,43.57,3.02,116,30.29,69.97,0,0,0.0039834,4.15e-05,0.000249,0.0006224,0.0044398,0,0.0105809,0.0004149,"STM","weekend"
"42",2012-05-24,17.47,1.38,97,29.22,69.87,0,0,0.0038306,8.06e-05,0.0069758,0.0006855,0.0095565,0,0.0175403,0.0003226,"STM","weekday"
"43",2012-05-27,91.88,2.46,132,29.15,68.43,0,0,0.0022535,4.02e-05,0.0012072,0.0003622,0.0034608,0,0.0052314,0.000161,"STM","weekend"
"44",2012-05-31,29.74,1.49,142,29.21,72.51,0,0,0.0016598,4.15e-05,0.0116183,0.000166,0.0025311,0,0.0054357,0.0001245,"STM","weekday"
"45",2012-06-06,56.25,2.65,140,27.75,82.37,0,0,0.001875,0,0.001,0.0001667,0.0048333,0,0.00175,0.000125,"SWM","weekday"
"46",2012-06-09,81.62,4.22,150,29.82,73.84,0,0,0.0018107,4.12e-05,0.0016049,0.0001235,0.0020576,0,0.0083951,4.12e-05,"SWM","weekend"
"47",2012-06-14,121.65,2.48,122,30.99,65.66,0,0,0.0029278,4.12e-05,0.0033814,0.0002062,0.0043711,0,0.0094433,4.12e-05,"SWM","weekday"
"48",2012-06-16,113.24,2.09,141,30.95,60.92,0,0,0.006142,0.0001152,0,0.0004607,0.0048369,0,0.0086756,0.0001536,"SWM","weekend"
"49",2012-06-20,145.87,3.94,147,30.36,69.94,0,0,0.002099,3.96e-05,0,0.0001584,0.0026139,0,0.0003564,0.0001188,"SWM","weekday"
"50",2012-06-27,60.55,2.25,132,27.8,77.49,0,0,0.0022355,3.99e-05,0,0.0001597,0.0059481,0,0.0054691,7.98e-05,"SWM","weekday"
"51",2012-06-30,31.62,2.46,121,29.55,72.2,0,0,0.0023093,4.12e-05,0,0.0003711,0.0058969,0,0.0044948,8.25e-05,"SWM","weekend"
