"date","pm10","ws","wd","T","RH","Pb","Cd","Fe","Mn","Mg","Ni","Zn","Be","Ca","Cu","monsoon","day"
"1",2011-11-16,21.21,1.7,189,27.8,66,0.0008316,0,0.0057796,0.0001247,0.0052391,4.16e-05,0.0010811,0,0.0188358,0,"FTM","weekday"
"2",2011-11-20,20.16,1.2,140,27.9,63,0.0015323,8.06e-05,0.01875,0.00125,0.0068145,0.000121,0.0034677,0,0.0330242,0,"FTM","weekend"
"3",2011-11-23,36.66,1,244,25.3,81,0.0007739,0,0.0249287,0,0.0037067,0,0.0008147,0,0.0135642,0,"FTM","weekday"
"4",2011-11-27,16.7,1.2,163,27.6,74,0.0019207,0.0001253,0.0189562,0.0017954,0.0065136,4.18e-05,0.0033403,0,0.025428,0,"FTM","weekend"
"5",2011-11-30,29.17,1.3,227,28.6,68,0.0012083,4.17e-05,0,0,0,0,0.000125,0,0,0,"FTM","weekday"
"6",2011-12-04,41.67,0.9,207,28.3,67,0,0,0.0010417,4.17e-05,0.0011667,0.0002083,0.0023333,4.17e-05,0.0180417,0.0001667,"NEM","weekend"
"7",2011-12-07,20.75,0,169,26.7,78,0,0,0.0013693,0,0.0004979,4.15e-05,0.0056432,0,0.0120332,0,"NEM","weekday"
"8",2011-12-11,32.32,1.2,230,27,64,0,0.0001212,0.0006061,0,0.0006061,4.04e-05,0.0002828,0,0.0018586,8.08e-05,"NEM","weekend"
"9",2011-12-14,34.37,2.1,239,26.6,69,0,0,0.001118,0,0.0013251,8.28e-05,0.001118,0,0.015735,8.28e-05,"NEM","weekday"
"10",2011-12-17,24.49,1.2,261,26.7,71,0,0,0.001102,0,0.001102,0.0002041,0.0013878,0,0.0090612,0.0001633,"NEM","weekend"
"11",2011-12-20,20.79,1.7,286,25.5,75,0,8.32e-05,0.0010395,0,0.0013721,4.16e-05,0.0014137,0,0.0146362,0,"NEM","weekday"
"12",2011-12-31,16.67,NA,NA,NA,NA,0,0,0.0005833,0,0.0009167,0,0.0004167,0,0.0070833,0,"NEM","weekend"
"13",2012-02-01,20.79,1.5,212,27.9,64,0,8.32e-05,0.00079,0,0.0021622,8.32e-05,0.0004574,0,0.0458212,0,"NEM","weekday"
"14",2012-02-03,25,1.7,182,26.6,70,0,0,0,0,0.0002083,8.33e-05,0.0003333,0,0.0075,0,"NEM","weekday"
"15",2012-02-08,79.17,1.5,156,28.9,62,0,0,0.0004167,0,0.0006667,4.17e-05,0,0,0.0035833,0,"NEM","weekday"
"16",2012-02-11,25,1.3,213,28.7,60,0,0,0.0015,0,0.0009167,0.000125,0.00275,0,0.0125,0.0005833,"NEM","weekend"
"17",2012-02-15,45.83,1.4,190,27.6,69,0,0,0.0010833,4.17e-05,0.0013333,8.33e-05,0.0014583,4.17e-05,0.0071667,8.33e-05,"NEM","weekday"
"18",2012-02-18,29.17,1.6,217,27.1,67,0,0,0.0019167,0,0.0004167,4.17e-05,0.0011667,0,0.0058333,4.17e-05,"NEM","weekend"
"19",2012-02-22,29.17,1.5,214,27.7,69,0,4.17e-05,0.0014167,0,0.0010833,4.17e-05,0.0014167,0,0.006125,8.33e-05,"NEM","weekday"
"20",2012-02-25,45.74,1.5,192,28,70,0,0,0.0019958,0,0.0010395,4.16e-05,0.0029938,0,0.0098545,0.0001663,"NEM","weekend"
"21",2012-02-29,112.5,1.4,167,26.6,74,0.0001667,0.0001667,0.0020417,8.33e-05,0.0034583,8.33e-05,0.001,0,0.0192083,0,"NEM","weekday"
"22",2012-03-03,41.49,0.6,251,26,76,0,0,0.0017012,8.3e-05,0.0077178,4.15e-05,0.003361,0,0.0357261,4.15e-05,"NEM","weekend"
"23",2012-03-07,20.7,1.1,241,26.3,78,0,0,0.0010352,4.14e-05,0.0017805,0,0.0007867,0,0.0146998,8.28e-05,"NEM","weekday"
"24",2012-03-14,79.17,1.4,223,27.3,69,0.0022917,0.0002917,0.0015,8.33e-05,0.002625,4.17e-05,0.0020417,0,0.032125,8.33e-05,"NEM","weekday"
"25",2012-03-21,58.35,0.4,155,27.3,75,0,0,0.0033803,8.05e-05,0.0049095,4.02e-05,0.0026962,0,0.0351308,4.02e-05,"NEM","weekday"
"26",2012-03-24,63.76,0.9,222,27.6,72,0.0019127,0.0002495,0.0058212,0.0001663,0.007526,0.000499,0.0087318,0,0.0461538,0.0002079,"NEM","weekend"
"27",2012-03-28,27.08,2.3,218,26.5,72,0,0,0.0017083,0.000125,0.00175,4.17e-05,0.004375,0,0.02525,0.0001667,"NEM","weekday"
"28",2012-03-30,35.42,1.3,151,27.2,70,0,0,0.0024583,0.000125,0.0020417,4.17e-05,0.0030417,0,0.01975,4.17e-05,"NEM","weekday"
"29",2012-04-04,26.92,1.4,187,26.7,76,0,0,0.0009938,0.0001242,0.0026501,4.14e-05,0.0035611,0,0.0248861,4.14e-05,"STM","weekday"
"30",2012-04-08,21.53,1.7,151,28.1,68,0,0,0.0007083,8.33e-05,0.00175,4.17e-05,0.0034583,0,0.015875,4.17e-05,"STM","weekend"
"31",2012-04-11,44.44,1.5,195,27.7,72,0,0,0.0006667,8.33e-05,0.003,8.33e-05,0.0045833,0,0.0175833,0,"STM","weekday"
"32",2012-04-14,48.21,1.6,167,28.1,71,0,0,0.0007025,8.26e-05,0.0028512,4.13e-05,0.0036364,0,0.0104959,4.13e-05,"STM","weekend"
"33",2012-04-18,19.36,1.3,170,28.7,67,0,0,0.0008714,8.3e-05,0.0029876,4.15e-05,0.0033195,0,0.0220747,4.15e-05,"STM","weekday"
"34",2012-04-22,46.05,1.3,172,27.9,74,0,0,0.0008247,0.0001237,0.0027629,8.25e-05,0.0048247,0,0.0234639,4.12e-05,"STM","weekend"
"35",2012-04-25,96.82,1.3,219,27.8,71,0,0,0.0013278,0,0,0.0001245,0.0012448,0,0.0010373,0.0001245,"STM","weekday"
"36",2012-05-03,30.68,0.8,225,24.3,87,0,0,0.0014343,3.98e-05,0.0101195,0.0001195,0.0006375,0,0.0091235,7.97e-05,"STM","weekday"
"37",2012-05-06,32.72,NA,NA,NA,NA,0,0,0.0014315,4.09e-05,0.0292843,0.0001636,0.0034765,0,0.0159918,0.0002454,"STM","weekend"
"38",2012-05-09,57.04,NA,NA,NA,NA,0,0,0.0014021,4.12e-05,0.0883299,0.0001649,0.0017732,0,0.0304742,0.0013608,"STM","weekday"
"39",2012-05-13,53.2,0.4,337,28.9,65,0,0,0.0012929,4.04e-05,0.0135354,0.0003636,0.0032727,0,0.0155152,0.0014949,"STM","weekend"
"40",2012-05-16,42.26,NA,NA,NA,NA,0,0,0.0015542,4.09e-05,0,0.0001227,0.0045399,0,0.006135,0.0002045,"STM","weekday"
"41",2012-05-19,28.81,1.7,203,28.5,67,0.0017695,0.0001235,0.0012346,0,0.0398765,0.0002058,0.0018107,0,0.0197531,0.0036214,"STM","weekend"
"42",2012-05-24,43.27,1,163,27,74,0,0,0.0024746,4.06e-05,0.0006085,0.0001623,0.0018661,0,0.0048682,0.0023935,"STM","weekday"
"43",2012-05-27,58.21,1.4,171,27.3,68,0.0002079,0,0.00158,4.16e-05,0.0019958,0.0001663,0.0039501,0,0.0153015,0.0002495,"STM","weekend"
"44",2012-05-31,36.11,1,212,26.5,79,0,0,0.0011667,0,0.0147083,0.0002083,0.001375,0,0.00575,0.000625,"STM","weekday"
"45",2012-06-06,85.8,1.1,167,25.2,88,0,0,0.0021111,3.7e-05,0,0.0001111,0.0025185,0,0.0024444,0.0001111,"SWM","weekday"
"46",2012-06-09,33.2,2.4,198,27.5,74,0,0,0.0015353,4.15e-05,0,0.000166,0.0028216,0,0.0025726,0.0009959,"SWM","weekend"
"47",2012-06-14,59.72,1.4,204,28.6,67,0,0,0.00175,4.17e-05,0,0.000125,0.0009167,0,0.0048333,0.0015,"SWM","weekday"
"48",2012-06-16,46.75,1.4,156,28.7,61,0,0,0.0023171,4.07e-05,0,0.000122,0.0027642,0,0.0026829,0.000122,"SWM","weekend"
"49",2012-06-20,69.16,2,178,28,69,0,0,0.0014108,4.15e-05,0.0038589,0.000166,0.0031535,0,0.0054357,0.0002905,"SWM","weekday"
"50",2012-06-27,39.82,1.1,192,25,85,0,0,0.0013102,3.85e-05,0.003815,0.0001541,0.0011561,0,0.0039306,0.0002312,"SWM","weekday"
"51",2012-06-30,62.37,1.4,187,27.6,73,0,0,0.0016216,4.16e-05,0.022869,0.0001247,0.0013306,0,0.0108108,0.0002911,"SWM","weekend"
"52",2012-07-04,52.09,0.7,177,24.9,81,0,0,0.0011336,0,0.0106478,0.0002024,0.0033603,0,0.0046559,8.1e-05,"SWM","weekday"
"53",2012-07-07,28.41,2.4,214,27.1,71,0,0,0.0015385,4.16e-05,0.05842,0.0001663,0.0010395,0,0.0231601,0.0009979,"SWM","weekend"
"54",2012-07-11,26.23,0.3,158,23.9,90,0,0,0.0012422,0,0.0308903,0.0001656,0.0006211,0,0.0122981,0.0045135,"SWM","weekday"
"55",2012-07-14,31.62,1.3,212,27.2,70,0,0,0.0011858,3.95e-05,0.0102372,0.0001186,0.0022925,0,0.0140316,0.0003953,"SWM","weekend"
"56",2012-07-19,31.36,1.6,153,26,76,0,0,0.0017717,3.94e-05,0.0097244,0.0001575,0.0082677,0,0.0050394,0.0003937,"SWM","weekday"
"57",2012-07-25,28.34,2.1,209,28,63,0,0,0.0015789,4.05e-05,0.0347773,0.0001619,0.0019433,0,0.0150202,0.0005263,"SWM","weekday"
"58",2012-07-28,49.34,2.4,174,28,65,0,3.8e-05,0.0014801,3.8e-05,0.0182543,0.0001518,0.0040607,0,0.011575,0.0001898,"SWM","weekend"
"59",2012-07-31,61.6,1.3,176,28.1,70,0,0,0.0018891,4.11e-05,0.0008214,0.0001643,0.0014784,0,0.0077207,0.0037372,"SWM","weekday"
"60",2012-08-05,27.78,1.2,186,26.8,77,0.000754,0.000119,0.0014286,3.97e-05,0.0144048,0.0001587,0.0017063,0,0.017619,0.0005952,"SWM","weekend"
"61",2012-08-08,49.71,1.8,178,28.2,71,0,0,0.0014532,3.82e-05,0.0448948,0.0001147,0.0035564,0,0.018088,0.0005736,"SWM","weekday"
"62",2012-08-11,87.32,2,205,28.1,66,0,0,0.001289,4.16e-05,0.0026403,0.0001663,0.0015385,0,0.0155094,0.0001663,"SWM","weekend"
"63",2012-08-15,20.66,0.9,232,27.2,80,0,0,0.0014876,4.13e-05,0.0179339,0.000124,0.0011157,0,0.009876,0.000124,"SWM","weekday"
"64",2012-08-25,4.18,1,118,26.3,79,0,0,0.0019207,4.18e-05,0.0349061,0.000167,0.0028392,0,0.0153236,0.0007098,"SWM","weekend"
"65",2012-08-29,32.85,1.4,176,27.2,73,0,0,0.0011499,4.11e-05,0,0.0001232,0.0008214,0,0,4.11e-05,"SWM","weekday"
"66",2012-09-01,36.51,2.4,188,27.9,70,0,0,0.0012982,4.06e-05,0.0152941,0.0001217,0.0019067,0,0.0088438,0.0003245,"SWM","weekend"
"67",2012-09-06,11.93,0.8,149,25.2,85,0.0031809,0.0002386,0.0011928,3.98e-05,0,0.0001988,0.0042147,0,0.0010736,0.0006362,"SWM","weekday"
"68",2012-09-09,20.12,1,173,27.2,83,0,0,0.0016499,4.02e-05,0.0215694,0.000161,0.0020523,0,0.0169014,0.0034205,"SWM","weekend"
"69",2012-09-12,35.71,2.4,202,26.5,84,0.0008333,0.000119,0.0011905,3.97e-05,0.0005952,0.000119,0.0015079,0,0.0014683,0.0001984,"SWM","weekday"
"70",2012-09-15,32.72,1.1,173,27.3,85,0,0,0.0017178,4.09e-05,0,0.0001636,0.0032311,0,0.0046626,0.0011861,"SWM","weekend"
"71",2012-09-19,55.78,NA,NA,NA,NA,0,0,0.0012749,3.98e-05,0.0174502,0.0001195,0.0011554,0,0.0079283,0.0007171,"SWM","weekday"
"72",2012-10-03,20.83,NA,NA,NA,NA,0,0,0.0011667,0,0.00175,0.000125,0.0009583,0,0.001,0.0007083,"FTM","weekday"
"73",2012-10-06,29.17,NA,NA,NA,NA,0,0,0.0015,4.17e-05,0,0.0001667,0.0032917,0,0.007375,0.0001667,"FTM","weekend"
"74",2012-10-10,16.67,NA,NA,NA,NA,0,0,0.0010833,0,0,0.0001667,0.0008333,0,0.000625,8.33e-05,"FTM","weekday"
"75",2012-10-13,25,NA,NA,NA,NA,0,0,0.0012917,4.17e-05,0,0.000125,0.002625,0,0.0007917,8.33e-05,"FTM","weekend"
"76",2012-10-17,33.33,NA,NA,NA,NA,0,0,0.0013333,4.17e-05,0,0.000125,0.0045833,0,0.0019583,0.000125,"FTM","weekday"
"77",2012-10-20,8.3,NA,NA,NA,NA,0,0,0.0017427,4.15e-05,0,0.0001245,0.0015768,0,0.0003734,0.0002075,"FTM","weekend"
"78",2012-10-24,8.33,NA,NA,NA,NA,0,0,0.0015833,4.17e-05,0.0035833,0.000125,0.00175,0,0.009,0.0002083,"FTM","weekday"
"79",2012-10-27,29.17,NA,NA,NA,NA,0,0,0.0018333,4.17e-05,0.019125,0.000125,0.0032917,0,0.013125,0.000125,"FTM","weekend"
"80",2012-10-31,16.67,NA,NA,NA,NA,0,0,0.0012917,4.17e-05,0.0115417,0.000125,0.002125,0,0.0099167,0.000125,"FTM","weekday"
"81",2012-11-07,49.59,NA,NA,NA,NA,0,0,0.0021488,4.13e-05,0.0005372,0.0002066,0.0080579,0,0.0116942,0.0003306,"FTM","weekday"
